constituency_name,party,mp_name,category_2024,2024,category_2029,2029
Kenilworth and Southam,CON,Jeremy Wright,Christian majority,51.9768153622147,Non-religious plurality,46.85636544842946
Kensington and Bayswater,LAB,Joe Powell,Christian plurality,43.96346228549454,Christian plurality,40.14654624962105
Kettering,LAB,Rosie Wrighting,Christian plurality,46.74695205529478,Non-religious majority,50.8471865334372
Kingston and Surbiton,LDM,Edward Davey,Christian plurality,41.21736523495251,Non-religious plurality,42.96037651324624
Kingston upon Hull East,IND,Karl Turner,Non-religious majority,54.54605218767694,Non-religious majority,62.694822929907126
Kingston upon Hull North and Cottingham,LAB,Diana R. Johnson,Non-religious plurality,46.87164990824848,Non-religious majority,54.567455797186604
Kingston upon Hull West and Haltemprice,LAB,Emma Hardy,Non-religious plurality,45.92903629902563,Non-religious majority,53.978229002393775
Kingswinford and South Staffordshire,CON,Mike Wood,Christian majority,58.5884861002061,Christian majority,50.183392138206315
Knowsley,LAB,Anneliese Midgley,Christian majority,65.08680010826679,Christian majority,56.36716682551717
Lancaster and Wyre,LAB,Cat Smith,Christian majority,50.617176877405775,Non-religious plurality,46.647966299288676
Leeds Central and Headingley,LAB,Alex Sobel,Non-religious majority,50.416471102310524,Non-religious majority,55.90166436362573
Leeds East,LAB,Richard Burgon,Christian plurality,44.055518818199886,Non-religious plurality,42.377586152980726
Leeds North East,LAB,Fabian Hamilton,Christian plurality,35.260146747360025,Non-religious plurality,39.91140200376515
Leeds North West,LAB,Katie White,Christian plurality,46.76661538180043,Non-religious majority,51.04276972785342
Leeds South,LAB,Hilary Benn,Christian plurality,41.43478473872981,Non-religious plurality,45.54020709322689
Leeds South West and Morley,LAB,Mark Sewards,Non-religious plurality,48.522574711362495,Non-religious majority,56.07089442084343
Leeds West and Pudsey,LAB,Rachel Reeves,Non-religious plurality,47.57381301581176,Non-religious majority,54.3297261752934
Leicester East,CON,Shivani Raja,Hindu plurality,40.38743054327893,Hindu plurality,40.589587856709976
Leicester South,IND,Shockat Adam,Muslim plurality,33.28793625076628,Muslim plurality,36.903297814962414
Leicester West,LAB,Liz Kendall,Christian plurality,36.58222372097861,Non-religious plurality,37.78572696225234
Leigh and Atherton,LAB,Jo Platt,Christian majority,57.519041380251636,Christian plurality,48.592827705061644
Lewes,LDM,James MacCleary,Non-religious plurality,48.44153715212422,Non-religious majority,56.67423528108141
Lewisham East,LAB,Janet Daby,Christian plurality,47.23280715442955,Christian plurality,42.32053101133255
Lewisham North,LAB,Vicky Foxcroft,Non-religious plurality,41.853239775494075,Non-religious plurality,46.46882541284778
Lewisham West and East Dulwich,LAB,Ellie Reeves,Non-religious plurality,48.3645313709876,Non-religious majority,53.3234974580969
Leyton and Wanstead,LAB,Calvin Bailey,Christian plurality,38.10117666757712,Christian plurality,33.12966346873205
Lichfield,LAB,Dave Robertson,Christian majority,53.89836960300748,Non-religious plurality,47.84935863731679
Lincoln,LAB,Hamish Falconer,Non-religious plurality,48.141768699657,Non-religious majority,55.773802415458576
Liverpool Garston,LAB,Maria Eagle,Christian majority,59.871093881874145,Christian majority,52.70106427007598
Liverpool Riverside,LAB,Kim Johnson,Christian plurality,45.06692574679734,Non-religious plurality,41.15596131921235
Liverpool Walton,LAB,Dan Carden,Christian majority,64.73519544864367,Christian majority,57.708684584564594
Liverpool Wavertree,LAB,Paula Barker,Christian plurality,47.31080521478951,Non-religious plurality,41.61515853971282
Liverpool West Derby,LAB,Ian Byrne,Christian majority,63.51639704945383,Christian majority,56.301930458497274
Llanelli,LAB,Nia Griffith,Non-religious plurality,47.9789649452752,Non-religious majority,56.50311267318979
Loughborough,LAB,Jeevun Sandher,Non-religious plurality,43.46977607125183,Non-religious majority,50.22703983783282
Louth and Horncastle,CON,Victoria Atkins,Christian majority,53.225872470078684,Non-religious plurality,48.63684569403198
Lowestoft,LAB,Jessica Asato,Non-religious plurality,49.22070504130771,Non-religious majority,57.82892444553337
Luton North,LAB,Sarah Owen,Christian plurality,39.10839537712042,Muslim plurality,35.88114388325649
Luton South and South Bedfordshire,LAB,Rachel Hopkins,Christian plurality,39.107681850939194,Christian plurality,32.917597686448495
Macclesfield,LAB,Tim Roca,Christian majority,51.3600094718406,Non-religious plurality,49.90008850222907
Maidenhead,LDM,Joshua Reynolds,Christian plurality,47.50074805309681,Christian plurality,40.50772922996004
Maidstone and Malling,CON,Helen Grant,Christian plurality,46.73726275628524,Non-religious plurality,49.00708911169431
Makerfield,VAC,Vacant,Christian majority,63.20373349897949,Christian majority,54.57099613412245
Maldon,CON,John Whittingdale,Christian plurality,48.92127110609022,Non-religious majority,51.89828219685943
Manchester Central,LAB,Lucy Powell,Non-religious plurality,38.77317786736331,Non-religious plurality,43.26235943600981
Manchester Rusholme,LAB,Afzal Khan,Non-religious plurality,33.02272573149917,Muslim plurality,35.55683234462064
Manchester Withington,LAB,Jeff Smith,Non-religious plurality,48.39202581689516,Non-religious majority,52.6161559159267
Mansfield,LAB,Steve Yemm,Non-religious plurality,46.438315652741466,Non-religious majority,54.949334323790055
Melksham and Devizes,LDM,Brian Mathew,Christian plurality,48.26085548450859,Non-religious majority,52.52544134804946
Melton and Syston,CON,Edward Argar,Christian plurality,46.45162039358209,Non-religious plurality,46.931138900358846
Meriden and Solihull East,CON,Saqib Bhatti,Christian majority,50.935962238844546,Non-religious plurality,43.69793212769186
Merthyr Tydfil and Aberdare,LAB,Gerald Jones,Non-religious majority,52.77721401520958,Non-religious majority,61.41366442090508
Mid Bedfordshire,CON,Blake Stephenson,Christian plurality,47.48266094912643,Non-religious majority,50.91650207893308
Mid Buckinghamshire,CON,Greg Smith,Christian majority,50.20183797172434,Non-religious plurality,46.46671325606337
Mid Cheshire,LAB,Andrew Cooper,Christian majority,52.59095401276777,Non-religious plurality,49.827416352880334
Mid Derbyshire,LAB,Jonathan Davies,Christian plurality,48.86084560879142,Non-religious majority,51.714690695496934
Mid Dorset and North Poole,LDM,Vikki Slade,Christian plurality,48.464367389906705,Non-religious majority,51.80241386443485
Mid Leicestershire,CON,Peter Bedford,Christian plurality,42.21273810623231,Non-religious plurality,46.61630328886951
Mid Norfolk,CON,George Freeman,Christian plurality,49.69917475248104,Non-religious majority,50.90219634776088
Mid Sussex,LDM,Alison Bennett,Christian plurality,46.42998669723506,Non-religious majority,52.97279055094921
Mid and South Pembrokeshire,LAB,Henry Tufnell,Christian plurality,48.19288300390403,Non-religious majority,52.78965457186261
Middlesbrough South and East Cleveland,LAB,Luke Myer,Christian majority,52.94299942681398,Non-religious plurality,49.456942177127935
Middlesbrough and Thornaby East,LAB,Andy McDonald,Christian plurality,42.388071801253155,Non-religious plurality,45.009754912295776
Milton Keynes Central,LAB,Emily Darlington,Christian plurality,42.47249851425872,Non-religious plurality,40.0947315556375
Milton Keynes North,LAB,Chris Curtis,Non-religious plurality,43.21147824713537,Non-religious plurality,47.886438749499455
Mitcham and Morden,LAB,Siobhain McDonagh,Christian plurality,46.259274751393384,Christian plurality,41.25651735058965
Monmouthshire,LAB,Catherine Fookes,Christian plurality,47.68367492767733,Non-religious majority,52.810220628017824
Montgomeryshire and Glyndwr,LAB,Vacant,Christian plurality,47.002516803454554,Non-religious majority,52.91495696605707
Morecambe and Lunesdale,LAB,Lizzi Collinge,Christian majority,55.29484661489643,Christian plurality,48.06756165633723
Neath and Swansea East,LAB,Carolyn Harris,Non-religious majority,50.29479030151979,Non-religious majority,58.63875277607694
New Forest East,CON,Julian Lewis,Christian plurality,48.651807375751474,Non-religious majority,52.748024539177976
New Forest West,CON,Desmond Swayne,Christian majority,53.40205291085106,Non-religious plurality,47.0230284239925
Newark,RFM,Robert Jenrick,Christian majority,51.90384418224214,Non-religious plurality,49.743788761467364
Newbury,LDM,Lee Dillon,Christian plurality,47.36154642433861,Non-religious majority,51.36285216015067
Newcastle upon Tyne Central and West,LAB,Chi Onwurah,Christian plurality,40.06982561829496,Non-religious plurality,43.965807845169095
Newcastle upon Tyne East and Wallsend,LAB,Mary Glindon,Non-religious plurality,48.95124381810679,Non-religious majority,56.95915008091289
Newcastle upon Tyne North,LAB,Catherine McKinnell,Non-religious plurality,46.83219237365987,Non-religious majority,54.23771260161264
Newcastle-under-Lyme,LAB,Adam Jogee,Christian majority,50.13407117884965,Non-religious plurality,48.0898681518733
Newport East,LAB,Jessica Morden,Non-religious plurality,44.91867404243214,Non-religious majority,51.520938878484316
Newport West and Islwyn,LAB,Ruth Jones,Non-religious majority,50.99920545341502,Non-religious majority,58.7297649831931
Newton Abbot,LDM,Martin Wrigley,Non-religious plurality,46.70912468375945,Non-religious majority,55.441808023226
Newton Aycliffe and Spennymoor,LAB,Alan Strickland,Christian majority,52.26705423315685,Non-religious majority,51.67754888472624
Normanton and Hemsworth,LAB,Jon Trickett,Christian majority,50.21180399422182,Non-religious majority,53.21866071426909
North Bedfordshire,CON,Richard Fuller,Christian plurality,46.66271426306541,Non-religious majority,51.28771831589943
North Cornwall,LDM,Ben Maguire,Christian plurality,47.38434648076447,Non-religious majority,53.706569011861525
North Cotswolds,CON,Geoffrey Clifton-Brown,Christian majority,52.30248223232565,Non-religious plurality,48.19597630334954
North Devon,LDM,Ian Roome,Christian plurality,46.18515511538513,Non-religious majority,54.77198912206409
North Dorset,CON,Simon Hoare,Christian majority,51.989228135158626,Non-religious plurality,47.830883791909116
North Durham,LAB,Luke Akehurst,Christian majority,51.62812286840279,Non-religious majority,52.58242132599563
North East Cambridgeshire,CON,Steve Barclay,Christian majority,51.282401221325856,Non-religious plurality,49.071923949945116
North East Derbyshire,LAB,Louise Jones,Christian plurality,49.63215206313306,Non-religious majority,53.2626416428819
North East Hampshire,LDM,Alex Brewer,Christian plurality,48.81454518833731,Non-religious majority,51.229697349591504
North East Hertfordshire,LAB,Chris Hinchliff,Christian plurality,45.50881907565543,Non-religious majority,53.03399591266938
North East Somerset and Hanham,IND,Dan Norris,Non-religious plurality,48.39090107723234,Non-religious majority,56.68287901129382
North Herefordshire,GRN,Ellie Chowns,Christian majority,54.79819747878173,Christian plurality,47.569798350402365
North Norfolk,LDM,Steffan Aquarone,Christian majority,51.86390952358012,Non-religious plurality,48.449997437057924
North Northumberland,LAB,David Smith,Christian majority,55.668713212495945,Christian plurality,47.31053126787619
North Shropshire,LDM,Helen Morgan,Christian majority,56.08157994652074,Christian plurality,48.78623523986823
North Somerset,LAB,Sadik Al-Hassan,Christian plurality,47.34676070554245,Non-religious majority,53.95641379957671
North Warwickshire and Bedworth,LAB,Rachel Taylor,Christian majority,51.399659337453926,Non-religious plurality,47.48307027410774
North West Cambridgeshire,LAB,Sam Carling,Christian plurality,48.31491938738929,Non-religious plurality,47.1233217172901
North West Essex,CON,Kemi Badenoch,Christian plurality,48.41788016723167,Non-religious majority,50.910180930420665
North West Hampshire,CON,Kit Malthouse,Christian plurality,46.35466924230498,Non-religious majority,53.03523682126272
North West Leicestershire,LAB,Amanda Hack,Christian plurality,47.42685489068303,Non-religious majority,54.746212041147125
North West Norfolk,CON,James Wild,Christian majority,52.49488909605561,Non-religious plurality,47.87664583978911
Northampton North,LAB,Lucy Rigby,Christian plurality,47.633988408144816,Non-religious plurality,41.385189991087344
Northampton South,LAB,Mike Reader,Christian plurality,48.706262450335856,Non-religious plurality,43.88920961307307
Norwich North,LAB,Alice Macdonald,Non-religious majority,50.9267168367342,Non-religious majority,58.087499089657555
Norwich South,LAB,Clive Lewis,Non-religious majority,54.518780016076704,Non-religious majority,60.61065445128909
Nottingham East,LAB,Nadia Whittome,Non-religious plurality,40.03275855098297,Non-religious plurality,43.061533100075025
Nottingham North and Kimberley,LAB,Alex Norris,Non-religious plurality,45.550137274798395,Non-religious majority,50.61071356492802
Nottingham South,LAB,Lilian Greenwood,Non-religious plurality,44.239599663685524,Non-religious plurality,48.11036581666166
Nuneaton,LAB,Jodie Gosling,Christian plurality,47.02487028768331,Non-religious plurality,47.60484831973172
Old Bexley and Sidcup,CON,Louie French,Christian plurality,47.81656563434786,Non-religious plurality,43.17867309202483
Oldham East and Saddleworth,LAB,Debbie Abrahams,Christian plurality,46.35067502836793,Christian plurality,37.81965915259966
"Oldham West, Chadderton and Royton",LAB,Jim McMahon,Christian plurality,39.572086547695804,Muslim plurality,34.68064809735262
Orpington,CON,Gareth Bacon,Christian plurality,48.21352881890395,Non-religious plurality,44.228022607306194
Ossett and Denby Dale,LAB,Jade Botterill,Christian plurality,49.33077422665058,Non-religious majority,51.21061041529777
Oxford East,LAB,Anneliese Dodds,Christian plurality,39.09460405516425,Non-religious plurality,41.58378125091999
Oxford West and Abingdon,LDM,Layla Moran,Non-religious plurality,44.060529063937985,Non-religious plurality,49.254994062818156
Peckham,LAB,Miatta Fahnbulleh,Christian plurality,44.28054011038406,Non-religious plurality,40.29005970122364
Pendle and Clitheroe,LAB,Jonathan Hinder,Christian plurality,45.91555310048671,Christian plurality,37.74225094573514
Penistone and Stocksbridge,LAB,Marie Tidball,Christian majority,51.07347089112926,Non-religious majority,51.46708385977995
Penrith and Solway,LAB,Markus Campbell-Savours,Christian majority,56.98860811135238,Christian plurality,48.212697729893684
Peterborough,LAB,Andrew Pakes,Christian plurality,44.79138809793295,Christian plurality,38.4671992725001
Plymouth Moor View,LAB,Fred Thomas,Non-religious plurality,49.97862695426761,Non-religious majority,58.89075908115371
Plymouth Sutton and Devonport,LAB,Luke Pollard,Non-religious majority,52.81159851802391,Non-religious majority,60.93514280066679
"Pontefract, Castleford and Knottingley",LAB,Yvette Cooper,Christian plurality,47.93336917492058,Non-religious majority,55.331668016979904
Pontypridd,LAB,Alex Davies-Jones,Non-religious majority,56.549761080784954,Non-religious majority,64.78967011944144
Poole,LAB,Neil Duncan-Jordan,Christian plurality,46.271508109966305,Non-religious majority,52.10732461408887
Poplar and Limehouse,LAB,Apsana Begum,Muslim plurality,32.5246128168604,Muslim plurality,35.79740263529403
Portsmouth North,LAB,Amanda Martin,Non-religious plurality,49.50172069328494,Non-religious majority,56.860596625639324
Portsmouth South,LAB,Stephen Morgan,Non-religious plurality,47.27447637978362,Non-religious majority,53.67165193952985
Preston,LAB,Mark Hendrick,Christian plurality,43.063172898185954,Christian plurality,35.85836105806333
Putney,LAB,Fleur Anderson,Christian plurality,41.57037115286551,Non-religious plurality,41.54633428379778
Queen's Park and Maida Vale,LAB,Georgia Gould,Christian plurality,37.745200719654925,Christian plurality,34.064417780656356
Rawmarsh and Conisbrough,LAB,John Healey,Christian majority,50.521023760174856,Non-religious majority,53.215326283353406
Rayleigh and Wickford,CON,Mark Francois,Christian plurality,47.89007862135109,Non-religious majority,53.82648111738052
Reading Central,LAB,Matt Rodda,Christian plurality,37.790546819490714,Non-religious plurality,41.16214287367563
Reading West and Mid Berkshire,LAB,Olivia Bailey,Christian plurality,47.01927260949462,Non-religious plurality,48.24280998718174
Redcar,LAB,Anna Turley,Christian majority,51.01320553351687,Non-religious majority,51.67627045949611
Redditch,LAB,Christopher Bloore,Christian plurality,48.9559215218685,Non-religious plurality,48.693026663586444
Reigate,CON,Rebecca Paul,Christian plurality,48.5803283982489,Non-religious plurality,45.17253311573587
Rhondda and Ogmore,LAB,Chris Bryant,Non-religious majority,62.425175128888334,Non-religious majority,70.08610987743543
Ribble Valley,LAB,Maya Ellis,Christian majority,61.979471499688835,Christian majority,54.54491725299063
Richmond Park,LDM,Sarah Olney,Christian plurality,42.690631374371,Non-religious plurality,44.29289190775212
Richmond and Northallerton,CON,Rishi Sunak,Christian majority,56.184047795940074,Christian plurality,48.40804948959098
Rochdale,LAB,Paul Waugh,Christian plurality,38.084960289126265,Non-religious plurality,32.1862762941636
Rochester and Strood,LAB,Lauren Edwards,Non-religious plurality,45.04559033857711,Non-religious majority,52.530706330202015
Romford,RFM,Andrew Rosindell,Christian plurality,49.86450800251705,Christian plurality,42.17433586883045
Romsey and Southampton North,CON,Caroline Nokes,Christian plurality,48.39579696997022,Non-religious plurality,48.10919648348858
Rossendale and Darwen,LAB,Andy MacNae,Christian majority,50.485769612081356,Non-religious plurality,49.009638012249596
Rother Valley,LAB,Jake Richards,Christian majority,50.81291899175212,Non-religious majority,52.030336622601546
Rotherham,LAB,Sarah Champion,Christian plurality,43.809053122990164,Non-religious plurality,49.37018228902313
Rugby,LAB,John Slinger,Christian plurality,49.139398832995276,Non-religious plurality,44.6122817513812
"Ruislip, Northwood and Pinner",CON,David Simmonds,Christian plurality,38.87849880055009,Christian plurality,35.01365092124443
Runcorn and Helsby,RFM,Sarah Pochin,Christian majority,52.43118014196858,Non-religious majority,50.35279420816751
Runnymede and Weybridge,CON,Ben Spencer,Christian majority,51.43372248588097,Christian plurality,44.48438951750055
Rushcliffe,LAB,James Naish,Non-religious plurality,46.3196829178851,Non-religious majority,54.29809614900041
Rutland and Stamford,CON,Alicia Kearns,Christian majority,52.96610143089324,Non-religious plurality,44.73536917657304
Salford,LAB,Rebecca Long-Bailey,Christian plurality,42.42568323588215,Non-religious plurality,47.48967211600109
Salisbury,CON,John Glen,Christian majority,52.0507399330169,Non-religious plurality,47.89091413044156
Scarborough and Whitby,LAB,Alison Hume,Christian majority,51.493531025770686,Non-religious plurality,49.22030484587365
Scunthorpe,LAB,Nicholas Dakin,Christian plurality,49.88560628592672,Non-religious plurality,48.48372232631678
Sefton Central,LAB,Bill Esterson,Christian majority,67.22058428234283,Christian majority,60.18424233926131
Selby,LAB,Keir Mather,Christian majority,51.58495077369145,Non-religious majority,50.706396383352526
Sevenoaks,CON,Laura Trott,Christian majority,50.229826426499244,Non-religious plurality,48.777283557391094
Sheffield Brightside and Hillsborough,LAB,Gill Furniss,Non-religious plurality,40.47965391218259,Non-religious plurality,45.722995707673796
Sheffield Central,LAB,Abtisam Mohamed,Non-religious majority,51.01246703850999,Non-religious majority,55.93702377607772
Sheffield Hallam,LAB,Olivia Blake,Non-religious plurality,47.75799651865999,Non-religious majority,55.231702865077246
Sheffield Heeley,LAB,Louise Haigh,Non-religious plurality,48.545151128447024,Non-religious majority,55.5493107896467
Sheffield South East,LAB,Clive Betts,Non-religious plurality,42.09879045990826,Non-religious plurality,48.34295701123029
Sherwood Forest,LAB,Michelle Welsh,Non-religious plurality,47.52556803520354,Non-religious majority,55.9906698108259
Shipley,LAB,Anna Dixon,Christian plurality,45.54500377258254,Non-religious majority,50.147649147842785
Shrewsbury,LAB,Julia Buckley,Christian plurality,49.61802896970574,Non-religious majority,50.77073402716975
Sittingbourne and Sheppey,LAB,Kevin McKenna,Non-religious plurality,46.63855843031548,Non-religious majority,55.54809554417438
Skipton and Ripon,CON,Julian Smith,Christian majority,54.110831101282265,Christian plurality,46.757555167820406
Sleaford and North Hykeham,CON,Caroline Johnson,Christian majority,51.90622062117279,Non-religious majority,50.68585679372594
Slough,LAB,Tan Dhesi,Christian plurality,31.088117450183724,Muslim plurality,33.15108059820175
Smethwick,LAB,Gurinder Josan,Christian plurality,35.097581792138485,Christian plurality,27.41978909482458
Solihull West and Shirley,CON,Neil Shastri-Hurst,Christian plurality,49.260558652456524,Christian plurality,41.01495488675147
South Basildon and East Thurrock,IND,James McMurdock,Christian plurality,47.1829439669287,Non-religious plurality,49.79695900202129
South Cambridgeshire,LDM,Pippa Heylings,Christian plurality,44.801445263875635,Non-religious plurality,49.502292293496296
South Cotswolds,LDM,Roz Savage,Christian majority,52.574303677062176,Non-religious plurality,47.60329343026104
South Derbyshire,LAB,Samantha Niblett,Christian plurality,46.17069790546772,Non-religious majority,52.89973247097033
South Devon,LDM,Caroline Voaden,Christian plurality,46.67666115634288,Non-religious majority,53.39135421729512
South Dorset,LAB,Lloyd Hatton,Christian plurality,47.63898155471739,Non-religious majority,52.82028187677683
South East Cornwall,LAB,Anna Gelderd,Christian plurality,47.842693781805224,Non-religious majority,53.65209736186569
South Holland and The Deepings,CON,John Hayes,Christian majority,56.71854727482375,Christian plurality,48.598585829032395
South Leicestershire,CON,Alberto Costa,Christian plurality,46.93011906902177,Non-religious majority,53.35334052693014
South Norfolk,LAB,Ben Goldsborough,Non-religious plurality,47.08250517934257,Non-religious majority,55.47902611424409
South Northamptonshire,CON,Sarah Bool,Christian plurality,49.46621609923933,Non-religious plurality,49.77297555122431
South Ribble,LAB,Paul Foster,Christian majority,60.442499861239774,Christian majority,52.517236845092306
South Shields,LAB,Emma Lewell,Christian plurality,49.83647761561094,Non-religious majority,51.05926492220636
South Shropshire,CON,Stuart Anderson,Christian majority,57.877448662896846,Christian majority,50.70294100291475
South Suffolk,CON,James Cartlidge,Christian plurality,48.69451359901473,Non-religious majority,51.82857694873605
South West Devon,CON,Rebecca Smith,Christian plurality,49.04866396076892,Non-religious majority,53.364492352867664
South West Hertfordshire,CON,Gagan Mohindra,Christian plurality,46.20245328811453,Christian plurality,39.87668763839601
South West Norfolk,LAB,Terry Jermy,Christian plurality,49.2394805295009,Non-religious majority,51.39093670482487
South West Wiltshire,CON,Andrew Murrison,Christian plurality,47.17433216370007,Non-religious majority,52.839964478842106
Southampton Itchen,LAB,Darren Paffey,Non-religious plurality,48.11947749478217,Non-religious majority,54.137076468904944
Southampton Test,LAB,Satvir Kaur,Non-religious plurality,43.1241943333374,Non-religious plurality,48.428491591070944
Southend East and Rochford,LAB,Bayo Alaba,Non-religious plurality,46.92264792854943,Non-religious majority,54.586838485903556
Southend West and Leigh,LAB,David Burton-Sampson,Non-religious plurality,46.171084546129926,Non-religious majority,53.58899869193545
Southgate and Wood Green,LAB,Bambos Charalambous,Christian plurality,43.99572675605411,Christian plurality,39.4224493024674
Southport,LAB,Patrick Hurley,Christian majority,57.44223823867799,Christian plurality,49.44974972857686
Spelthorne,CON,Lincoln Jopp,Christian plurality,49.15889925738271,Christian plurality,42.16159689667482
Spen Valley,LAB,Kim Leadbeater,Christian plurality,46.56540445932837,Non-religious plurality,48.040915302966816
St Albans,LDM,Daisy Cooper,Christian plurality,43.4452079867237,Non-religious plurality,45.66676021548427
St Austell and Newquay,LAB,Noah Law,Non-religious plurality,49.3409981663654,Non-religious majority,57.948344062031964
St Helens North,LAB,David Baines,Christian majority,60.390927825844734,Christian majority,50.59763749570647
St Helens South and Whiston,LAB,Marie Rimmer,Christian majority,60.842227848563745,Christian majority,51.18244202849582
St Ives,LDM,Andrew George,Non-religious plurality,46.99867300497419,Non-religious majority,55.61293935520539
St Neots and Mid Cambridgeshire,LDM,Ian Sollom,Non-religious plurality,47.92383981301118,Non-religious majority,55.13397620355212
Stafford,LAB,Leigh Ingham,Christian majority,51.601452335360364,Non-religious plurality,47.26857823350589
Staffordshire Moorlands,CON,Karen Bradley,Christian majority,57.375369509285015,Christian plurality,49.32844457251961
Stalybridge and Hyde,LAB,Jonathan Reynolds,Christian plurality,45.663239985179935,Non-religious majority,51.12161889012573
Stevenage,LAB,Kevin Bonavia,Non-religious plurality,45.44856081556377,Non-religious majority,51.824419128461685
Stockport,LAB,Navendu Mishra,Non-religious plurality,45.63715061467318,Non-religious majority,53.248507729176254
Stockton North,LAB,Chris McDonald,Christian plurality,46.71627490858102,Non-religious majority,52.70377180795213
Stockton West,CON,Matt Vickers,Christian majority,54.30533867092202,Non-religious plurality,46.31978113975097
Stoke-on-Trent Central,LAB,Gareth Snell,Christian plurality,43.89014276424618,Non-religious plurality,46.87171067940576
Stoke-on-Trent North,LAB,David Williams,Christian plurality,47.22240521845045,Non-religious plurality,46.83627956201779
Stoke-on-Trent South,LAB,Allison Gardner,Christian majority,52.37612735542887,Non-religious plurality,44.03870252905951
"Stone, Great Wyrley and Penkridge",CON,Gavin Williamson,Christian majority,56.85396382403128,Christian plurality,48.73203297710275
Stourbridge,LAB,Cat Eccles,Christian plurality,47.64246051205122,Non-religious plurality,46.261273524410065
Stratford and Bow,LAB,Uma Kumaran,Christian plurality,29.36286932324648,Non-religious plurality,31.879749510497064
Stratford-on-Avon,LDM,Manuela Perteghella,Christian majority,55.4976527552246,Christian plurality,47.51862579802618
Streatham and Croydon North,LAB,Steve Reed,Christian plurality,44.79278433580154,Christian plurality,39.83339369796503
Stretford and Urmston,LAB,Andrew Western,Christian plurality,44.88252695587472,Non-religious plurality,41.786038262822416
Stroud,LAB,Simon Opher,Non-religious plurality,46.93678289655889,Non-religious majority,55.15279425618915
Suffolk Coastal,LAB,Jenny Riddell-Carpenter,Christian plurality,49.07114018251006,Non-religious majority,52.08816357591996
Sunderland Central,LAB,Lewis Atkinson,Christian majority,51.421883369995015,Non-religious plurality,47.950904472745094
Surrey Heath,LDM,Al Pinkerton,Christian plurality,48.70033433120536,Non-religious plurality,44.920966380173354
Sussex Weald,CON,Nusrat Ghani,Christian plurality,48.111388444617894,Non-religious majority,52.68838996100313
Sutton Coldfield,CON,Andrew Mitchell,Christian majority,51.17747891707916,Christian plurality,44.03030545487992
Sutton and Cheam,LDM,Luke Taylor,Christian plurality,44.58086502296781,Christian plurality,37.78405316765156
Swansea West,LAB,Torsten Bell,Non-religious plurality,49.15548597241863,Non-religious majority,56.10914091547762
Swindon North,LAB,Will Stone,Christian plurality,45.09351298354257,Non-religious majority,50.69363497167917
Swindon South,LAB,Heidi Alexander,Christian plurality,46.39981815027021,Non-religious plurality,44.27188635354598
Tamworth,LAB,Sarah Edwards,Christian plurality,49.752926770810596,Non-religious majority,51.12743310296869
Tatton,CON,Esther McVey,Christian majority,53.69840042792797,Christian plurality,45.51922783898178
Taunton and Wellington,LDM,Gideon Amos,Christian plurality,47.70897602360329,Non-religious majority,51.881940474834366
Telford,LAB,Shaun Davies,Non-religious plurality,45.60581205071274,Non-religious majority,53.54924324684589
Tewkesbury,LDM,Cameron Thomas,Christian plurality,49.34254934214415,Non-religious majority,50.18740956868722
The Wrekin,CON,Mark Pritchard,Christian majority,51.666601227369355,Non-religious plurality,44.3598818649579
Thirsk and Malton,CON,Kevin Hollinrake,Christian majority,56.757434896196024,Christian plurality,48.84164078261109
Thornbury and Yate,LDM,Claire Young,Non-religious plurality,46.56701366705009,Non-religious majority,55.19813865493024
Thurrock,LAB,Jennifer Craft,Christian majority,51.438552952800634,Christian plurality,44.30626916761763
Tipton and Wednesbury,LAB,Antonia Bance,Christian plurality,44.11474113715371,Non-religious plurality,38.06890351052814
Tiverton and Minehead,LDM,Rachel Gilmour,Christian plurality,49.20977885755762,Non-religious majority,51.48456442523407
Tonbridge,CON,Thomas Tugendhat,Christian plurality,48.679650919075996,Non-religious majority,51.27246575204632
Tooting,LAB,Rosena Allin-Khan,Non-religious plurality,40.118350025055115,Non-religious plurality,44.497242498929005
Torbay,LDM,Steve Darling,Christian plurality,47.460038212453064,Non-religious majority,52.84430335325803
Torfaen,LAB,Nick Thomas-Symonds,Non-religious majority,51.511226305061406,Non-religious majority,59.56094602002737
Torridge and Tavistock,CON,Geoffrey Cox,Christian plurality,48.53746441019176,Non-religious majority,52.299159851003864
Tottenham,LAB,David Lammy,Christian plurality,40.40994217528125,Christian plurality,36.26674078739669
Truro and Falmouth,LAB,Jayne Kirkham,Non-religious plurality,48.9922002747029,Non-religious majority,57.49514577019599
Tunbridge Wells,LDM,Mike Martin,Christian plurality,47.85124565441873,Non-religious plurality,49.97925407269269
Twickenham,LDM,Munira Wilson,Christian plurality,42.68752157709997,Non-religious plurality,47.498864927548226
Tynemouth,LAB,Alan Campbell,Non-religious plurality,47.99801845616179,Non-religious majority,57.419634581065196
Uxbridge and South Ruislip,LAB,Danny Beales,Christian plurality,42.32347307954892,Christian plurality,36.7050688345751
Vale of Glamorgan,LAB,Kanishka Narayan,Non-religious majority,50.40530097957897,Non-religious majority,58.45876994201609
Vauxhall and Camberwell Green,LAB,Florence Eshalomi,Christian plurality,43.033092645816005,Non-religious plurality,42.30280225665299
Wakefield and Rothwell,LAB,Simon Lightwood,Christian plurality,44.73185792127993,Non-religious plurality,49.016705667552365
Wallasey,LAB,Angela Eagle,Christian majority,50.65489585059177,Non-religious majority,51.28324092272805
