constituency_name,biggest,share,majority,category
Aberafan Maesteg,Non-religious,0.541518193941428,True,Non-religious majority
Aldershot,Christian,0.4162063432413961,False,Christian plurality
Aldridge-Brownhills,Christian,0.5209513716869578,True,Christian majority
Altrincham and Sale West,Christian,0.48998967254932757,False,Christian plurality
Alyn and Deeside,Christian,0.49354372516928807,False,Christian plurality
Amber Valley,Non-religious,0.5079382847752506,True,Non-religious majority
Arundel and South Downs,Christian,0.5272653207466134,True,Christian majority
Ashfield,Non-religious,0.5194668397944504,True,Non-religious majority
Ashford,Christian,0.4394726202057838,False,Christian plurality
Ashton-under-Lyne,Christian,0.44992149522420927,False,Christian plurality
Aylesbury,Christian,0.44263107772748056,False,Christian plurality
Banbury,Christian,0.49187768242222046,False,Christian plurality
Bangor Aberconwy,Christian,0.46674547824799134,False,Christian plurality
Barking,Christian,0.42480576593893016,False,Christian plurality
Barnsley North,Christian,0.4949203803679702,False,Christian plurality
Barnsley South,Christian,0.4789020439761545,False,Christian plurality
Barrow and Furness,Christian,0.524828564560978,True,Christian majority
Basildon and Billericay,Non-religious,0.455678256350424,False,Non-religious plurality
Basingstoke,Non-religious,0.46041527304651825,False,Non-religious plurality
Bassetlaw,Christian,0.531602148944565,True,Christian majority
Bath,Non-religious,0.5065160965579676,True,Non-religious majority
Battersea,Christian,0.42588925525220245,False,Christian plurality
Beaconsfield,Christian,0.468085744213015,False,Christian plurality
Beckenham and Penge,Christian,0.4505792964507227,False,Christian plurality
Bedford,Christian,0.4531493163404697,False,Christian plurality
Bermondsey and Old Southwark,Christian,0.40307945022911207,False,Christian plurality
Bethnal Green and Stepney,Muslim,0.4722243402692189,False,Muslim plurality
Beverley and Holderness,Christian,0.5116435299925914,True,Christian majority
Bexhill and Battle,Christian,0.4937213827552837,False,Christian plurality
Bexleyheath and Crayford,Christian,0.48552845486300766,False,Christian plurality
Bicester and Woodstock,Christian,0.4927966506808684,False,Christian plurality
Birkenhead,Christian,0.5118844535773869,True,Christian majority
Birmingham Edgbaston,Christian,0.3751058861101218,False,Christian plurality
Birmingham Erdington,Christian,0.4443718091912924,False,Christian plurality
Birmingham Hall Green and Moseley,Muslim,0.5517963365644849,True,Muslim majority
Birmingham Hodge Hill and Solihull North,Muslim,0.38213879844679727,False,Muslim plurality
Birmingham Ladywood,Muslim,0.4971297444344853,False,Muslim plurality
Birmingham Northfield,Christian,0.45348320917170404,False,Christian plurality
