constituency_name,biggest,share,majority,category
Aberafan Maesteg,Non-religious,0.5586254226610594,True,Non-religious majority
Aldershot,Non-religious,0.4110186849708064,False,Non-religious plurality
Aldridge-Brownhills,Christian,0.5044166572782199,True,Christian majority
Altrincham and Sale West,Christian,0.4736129808490843,False,Christian plurality
Alyn and Deeside,Christian,0.47665917393673624,False,Christian plurality
Amber Valley,Non-religious,0.5267140169065343,True,Non-religious majority
Arundel and South Downs,Christian,0.5109359929222768,True,Christian majority
Ashfield,Non-religious,0.5373769263499572,True,Non-religious majority
Ashford,Non-religious,0.4502128671325842,False,Non-religious plurality
Ashton-under-Lyne,Christian,0.43226450757719703,False,Christian plurality
Aylesbury,Christian,0.4271573052774648,False,Christian plurality
Banbury,Christian,0.4760161567009496,False,Christian plurality
Bangor Aberconwy,Non-religious,0.45632259323105206,False,Non-religious plurality
Barking,Christian,0.4126052313002558,False,Christian plurality
Barnsley North,Christian,0.4758688766545762,False,Christian plurality
Barnsley South,Non-religious,0.476846444362335,False,Non-religious plurality
Barrow and Furness,Christian,0.5050761763087743,True,Christian majority
Basildon and Billericay,Non-religious,0.47187814578357035,False,Non-religious plurality
Basingstoke,Non-religious,0.47636847641546587,False,Non-religious plurality
Bassetlaw,Christian,0.5131594732250733,True,Christian majority
Bath,Non-religious,0.5231508085234321,True,Non-religious majority
Battersea,Christian,0.4146268100065601,False,Christian plurality
Beaconsfield,Christian,0.45280829854261834,False,Christian plurality
Beckenham and Penge,Christian,0.4364418793479634,False,Christian plurality
Bedford,Christian,0.4397190901732954,False,Christian plurality
Bermondsey and Old Southwark,Christian,0.39318758930229886,False,Christian plurality
Bethnal Green and Stepney,Muslim,0.47663806907477185,False,Muslim plurality
Beverley and Holderness,Christian,0.49455245119202573,False,Christian plurality
Bexhill and Battle,Christian,0.47694379760917144,False,Christian plurality
Bexleyheath and Crayford,Christian,0.47119442809574213,False,Christian plurality
Bicester and Woodstock,Christian,0.4769886279279895,False,Christian plurality
Birkenhead,Christian,0.4937503064928634,False,Christian plurality
Birmingham Edgbaston,Christian,0.3619942405808409,False,Christian plurality
Birmingham Erdington,Christian,0.4296263551879358,False,Christian plurality
Birmingham Hall Green and Moseley,Muslim,0.5594870881283164,True,Muslim majority
Birmingham Hodge Hill and Solihull North,Muslim,0.3897343518344675,False,Muslim plurality
Birmingham Ladywood,Muslim,0.5050418854831791,True,Muslim majority
Birmingham Northfield,Christian,0.4382864497765905,False,Christian plurality
Birmingham Perry Barr,Muslim,0.4466851793127351,False,Muslim plurality
Birmingham Selly Oak,Non-religious,0.3904056871465183,False,Non-religious plurality
Birmingham Yardley,Muslim,0.4421661741369135,False,Muslim plurality
Bishop Auckland,Christian,0.5433171848200724,True,Christian majority
Blackburn,Muslim,0.48261885203596555,False,Muslim plurality
Blackley and Middleton South,Christian,0.48398582288026076,False,Christian plurality
Blackpool North and Fleetwood,Christian,0.5236842584951048,True,Christian majority
Blackpool South,Christian,0.4606190182984299,False,Christian plurality
Blaenau Gwent and Rhymney,Non-religious,0.6062232816091504,True,Non-religious majority
Blaydon and Consett,Christian,0.5177859454406784,True,Christian majority
Blyth and Ashington,Non-religious,0.48609848516421444,False,Non-religious plurality
Bognor Regis and Littlehampton,Christian,0.4803378765966259,False,Christian plurality
Bolsover,Non-religious,0.4862395345488107,False,Non-religious plurality
