constituency_name,biggest,share,majority,category
Aberafan Maesteg,Non-religious,0.605948432956046,True,Non-religious majority
Aldershot,Non-religious,0.44954747858008887,False,Non-religious plurality
Aldridge-Brownhills,Christian,0.45710447934018456,False,Christian plurality
Altrincham and Sale West,Christian,0.4257957497247994,False,Christian plurality
Alyn and Deeside,Non-religious,0.493441565215717,False,Non-religious plurality
Amber Valley,Non-religious,0.5786396562442407,True,Non-religious majority
Arundel and South Downs,Christian,0.46459296264539307,False,Christian plurality
Ashfield,Non-religious,0.5868694761980582,True,Non-religious majority
Ashford,Non-religious,0.49528357973153425,False,Non-religious plurality
Ashton-under-Lyne,Non-religious,0.42289737606919076,False,Non-religious plurality
Aylesbury,Non-religious,0.41843341600287703,False,Non-religious plurality
Banbury,Non-religious,0.45029731112958843,False,Non-religious plurality
Bangor Aberconwy,Non-religious,0.5036088365240589,True,Non-religious majority
Barking,Christian,0.3781631118008257,False,Christian plurality
Barnsley North,Non-religious,0.5160666725137282,True,Non-religious majority
Barnsley South,Non-religious,0.5334586614306214,True,Non-religious majority
Barrow and Furness,Non-religious,0.47711650157764696,False,Non-religious plurality
Basildon and Billericay,Non-religious,0.5166541785906428,True,Non-religious majority
Basingstoke,Non-religious,0.5203898918028411,True,Non-religious majority
Bassetlaw,Non-religious,0.47120598117115775,False,Non-religious plurality
Bath,Non-religious,0.5698426691367809,True,Non-religious majority
Battersea,Non-religious,0.42615627490877134,False,Non-religious plurality
Beaconsfield,Christian,0.4093214441169698,False,Christian plurality
Beckenham and Penge,Non-religious,0.4551575971239483,False,Non-religious plurality
Bedford,Christian,0.4019298955431509,False,Christian plurality
Bermondsey and Old Southwark,Non-religious,0.42194609162071917,False,Non-religious plurality
Bethnal Green and Stepney,Muslim,0.48537662605421705,False,Muslim plurality
Beverley and Holderness,Non-religious,0.48605166585004733,False,Non-religious plurality
Bexhill and Battle,Non-religious,0.48954511327232997,False,Non-religious plurality
Bexleyheath and Crayford,Christian,0.4305645260300772,False,Christian plurality
Bicester and Woodstock,Non-religious,0.4665580314539495,False,Non-religious plurality
Birkenhead,Non-religious,0.4746084869850967,False,Non-religious plurality
Birmingham Edgbaston,Non-religious,0.3302388949251078,False,Non-religious plurality
Birmingham Erdington,Christian,0.38764667596323066,False,Christian plurality
Birmingham Hall Green and Moseley,Muslim,0.5808818999987234,True,Muslim majority
Birmingham Hodge Hill and Solihull North,Muslim,0.41134517606465026,False,Muslim plurality
Birmingham Ladywood,Muslim,0.5272184864310759,True,Muslim majority
Birmingham Northfield,Non-religious,0.464398110252807,False,Non-religious plurality
Birmingham Perry Barr,Muslim,0.4722420448998777,False,Muslim plurality
Birmingham Selly Oak,Non-religious,0.42153212135002627,False,Non-religious plurality
Birmingham Yardley,Muslim,0.46610413027299996,False,Muslim plurality
Bishop Auckland,Christian,0.4867004872545192,False,Christian plurality
Blackburn,Muslim,0.5039100167117415,True,Muslim majority
Blackley and Middleton South,Christian,0.4406532618215064,False,Christian plurality
Blackpool North and Fleetwood,Christian,0.4714691076892329,False,Christian plurality
Blackpool South,Non-religious,0.5067515923342945,True,Non-religious majority
Blaenau Gwent and Rhymney,Non-religious,0.650009790438811,True,Non-religious majority
Blaydon and Consett,Non-religious,0.4839695199344153,False,Non-religious plurality
Blyth and Ashington,Non-religious,0.5389278775871335,True,Non-religious majority
Bognor Regis and Littlehampton,Non-religious,0.486879953188209,False,Non-religious plurality
Bolsover,Non-religious,0.541521479278501,True,Non-religious majority
Bolton North East,Christian,0.4020137436023044,False,Christian plurality
Bolton South and Walkden,Christian,0.32702166542163896,False,Christian plurality
Bolton West,Christian,0.46707161530359764,False,Christian plurality
Bootle,Christian,0.5708078004653478,True,Christian majority
Boston and Skegness,Christian,0.49790964672723087,False,Christian plurality
Bournemouth East,Non-religious,0.47397982013242396,False,Non-religious plurality
Bournemouth West,Non-religious,0.5206559360194104,True,Non-religious majority
Bracknell,Non-religious,0.48684854519431975,False,Non-religious plurality
Bradford East,Muslim,0.4706140045584232,False,Muslim plurality
Bradford South,Non-religious,0.3983793585439867,False,Non-religious plurality
Bradford West,Muslim,0.6186877953652058,True,Muslim majority
