constituency_name,biggest,share,majority,category
Aberafan Maesteg,Non-religious,0.5248177153659194,True,Non-religious majority
Aldershot,Christian,0.4320531380396832,False,Christian plurality
Aldridge-Brownhills,Christian,0.5365468025553918,True,Christian majority
Altrincham and Sale West,Christian,0.5053802861559192,True,Christian majority
Alyn and Deeside,Christian,0.5098214023297053,True,Christian majority
Amber Valley,Non-religious,0.49017936226749337,False,Non-religious plurality
Arundel and South Downs,Christian,0.542397299744793,True,Christian majority
Ashfield,Non-religious,0.5024889235011208,True,Non-religious majority
Ashford,Christian,0.45504844825165003,False,Christian plurality
Ashton-under-Lyne,Christian,0.4667233106757297,False,Christian plurality
Aylesbury,Christian,0.4573375721698457,False,Christian plurality
Banbury,Christian,0.5068490456570266,True,Christian majority
Bangor Aberconwy,Christian,0.4823007890401456,False,Christian plurality
Barking,Christian,0.4370030489627549,False,Christian plurality
Barnsley North,Christian,0.51311004784689,True,Christian majority
Barnsley South,Christian,0.49719162733037714,False,Christian plurality
Barrow and Furness,Christian,0.5435266826108823,True,Christian majority
Basildon and Billericay,Christian,0.46583351063337747,False,Christian plurality
Basingstoke,Non-religious,0.44507257309569465,False,Non-religious plurality
Bassetlaw,Christian,0.549058559336673,True,Christian majority
Bath,Non-religious,0.49082618078136137,False,Non-religious plurality
Battersea,Christian,0.43597278211921137,False,Christian plurality
Beaconsfield,Christian,0.4825180624229043,False,Christian plurality
Beckenham and Penge,Christian,0.46394773681754553,False,Christian plurality
Bedford,Christian,0.46585308186166635,False,Christian plurality
Bermondsey and Old Southwark,Christian,0.41181410974244126,False,Christian plurality
Bethnal Green and Stepney,Muslim,0.4661559822654191,False,Muslim plurality
Beverley and Holderness,Christian,0.5275294958884519,True,Christian majority
Bexhill and Battle,Christian,0.5093761572905093,True,Christian majority
Bexleyheath and Crayford,Christian,0.49923476885965357,False,Christian plurality
Bicester and Woodstock,Christian,0.507745385885307,True,Christian majority
Birkenhead,Christian,0.5289829656944063,True,Christian majority
Birmingham Edgbaston,Christian,0.3874085081638869,False,Christian plurality
Birmingham Erdington,Christian,0.45823645878689784,False,Christian plurality
Birmingham Hall Green and Moseley,Muslim,0.5442207028252827,True,Muslim majority
Birmingham Hodge Hill and Solihull North,Muslim,0.37485894647325296,False,Muslim plurality
Birmingham Ladywood,Muslim,0.48938201692292493,False,Muslim plurality
Birmingham Northfield,Christian,0.46779789958065837,False,Christian plurality
Birmingham Perry Barr,Muslim,0.4289008518111244,False,Muslim plurality
Birmingham Selly Oak,Christian,0.3889048364245831,False,Christian plurality
Birmingham Yardley,Muslim,0.425575024005215,False,Muslim plurality
Bishop Auckland,Christian,0.58115166225998,True,Christian majority
Blackburn,Muslim,0.4675782188258947,False,Muslim plurality
Blackley and Middleton South,Christian,0.5120006501480893,True,Christian majority
Blackpool North and Fleetwood,Christian,0.558927236940436,True,Christian majority
Blackpool South,Christian,0.49610249568213177,False,Christian plurality
Blaenau Gwent and Rhymney,Non-religious,0.5743069312174918,True,Non-religious majority
Blaydon and Consett,Christian,0.5549740508057908,True,Christian majority
Blyth and Ashington,Christian,0.4882603214623385,False,Christian plurality
Bognor Regis and Littlehampton,Christian,0.5111432841397346,True,Christian majority
Bolsover,Christian,0.4836216966344858,False,Christian plurality
Bolton North East,Christian,0.4870345336118963,False,Christian plurality
Bolton South and Walkden,Christian,0.4084558347364331,False,Christian plurality
Bolton West,Christian,0.551205861402259,True,Christian majority
Bootle,Christian,0.6485569430470892,True,Christian majority
Boston and Skegness,Christian,0.5741716154574404,True,Christian majority
Bournemouth East,Christian,0.4715349080775777,False,Christian plurality
Bournemouth West,Non-religious,0.448194816217275,False,Non-religious plurality
Bracknell,Christian,0.46154904253333195,False,Christian plurality
Bradford East,Muslim,0.4424760912314905,False,Muslim plurality
Bradford South,Christian,0.3736706265673336,False,Christian plurality
Bradford West,Muslim,0.5873758806806478,True,Muslim majority
Braintree,Christian,0.4730251406841186,False,Christian plurality
"Brecon, Radnor and Cwm Tawe",Christian,0.47139784479012775,False,Christian plurality
Brent East,Christian,0.41484339570741435,False,Christian plurality
Brent West,Christian,0.34579676968078343,False,Christian plurality
Brentford and Isleworth,Christian,0.3868389161643155,False,Christian plurality
Brentwood and Ongar,Christian,0.553430018650822,True,Christian majority
Bridgend,Non-religious,0.4990636901129884,False,Non-religious plurality
Bridgwater,Christian,0.4977319462924882,False,Christian plurality
Bridlington and The Wolds,Christian,0.5399127448651216,True,Christian majority
Brigg and Immingham,Christian,0.5292157811400423,True,Christian majority
Brighton Kemptown and Peacehaven,Non-religious,0.5142958994306803,True,Non-religious majority
Brighton Pavilion,Non-religious,0.6003358603752706,True,Non-religious majority
