constituency_name,biggest,share,majority,category
Aberafan Maesteg,Non-religious,0.5906501811159367,True,Non-religious majority
Aldershot,Non-religious,0.4371363325450006,False,Non-religious plurality
Aldridge-Brownhills,Christian,0.4726002694702863,False,Christian plurality
Altrincham and Sale West,Christian,0.4415775291385897,False,Christian plurality
Alyn and Deeside,Non-religious,0.47734147028297147,False,Non-religious plurality
Amber Valley,Non-religious,0.5619244911821061,True,Non-religious majority
Arundel and South Downs,Christian,0.47971673409851695,False,Christian plurality
Ashfield,Non-religious,0.5709523897668638,True,Non-religious majority
Ashford,Non-religious,0.4808008859346647,False,Non-religious plurality
Ashton-under-Lyne,Non-religious,0.40896438998785056,False,Non-religious plurality
Aylesbury,Non-religious,0.40664175340564385,False,Non-religious plurality
Banbury,Christian,0.44564533464421807,False,Christian plurality
Bangor Aberconwy,Non-religious,0.48824018094436944,False,Non-religious plurality
Barking,Christian,0.3893516418058432,False,Christian plurality
Barnsley North,Non-religious,0.49763835294027425,False,Non-religious plurality
Barnsley South,Non-religious,0.5150933671726798,True,Non-religious majority
Barrow and Furness,Christian,0.46698652524074363,False,Christian plurality
Basildon and Billericay,Non-religious,0.5022621579127227,True,Non-religious majority
Basingstoke,Non-religious,0.5062584084892525,True,Non-religious majority
Bassetlaw,Christian,0.47771734688125556,False,Christian plurality
Bath,Non-religious,0.5546833901911241,True,Non-religious majority
Battersea,Non-religious,0.4148630272936129,False,Non-religious plurality
Beaconsfield,Christian,0.4235197052276568,False,Christian plurality
Beckenham and Penge,Non-religious,0.4420275815492974,False,Non-religious plurality
Bedford,Christian,0.4142120561048784,False,Christian plurality
Bermondsey and Old Southwark,Non-religious,0.41063887247695813,False,Non-religious plurality
Bethnal Green and Stepney,Muslim,0.48346395029216954,False,Muslim plurality
Beverley and Holderness,Non-religious,0.46898614427009616,False,Non-religious plurality
Bexhill and Battle,Non-religious,0.4734902556577895,False,Non-religious plurality
Bexleyheath and Crayford,Christian,0.44380126809199505,False,Christian plurality
Bicester and Woodstock,Non-religious,0.45189789893866056,False,Non-religious plurality
Birkenhead,Christian,0.45887516097910047,False,Christian plurality
Birmingham Edgbaston,Christian,0.3369583448847486,False,Christian plurality
Birmingham Erdington,Christian,0.4013753985542052,False,Christian plurality
Birmingham Hall Green and Moseley,Muslim,0.5739840058333037,True,Muslim majority
Birmingham Hodge Hill and Solihull North,Muslim,0.4042945192943855,False,Muslim plurality
Birmingham Ladywood,Muslim,0.52004144611487,True,Muslim majority
Birmingham Northfield,Non-religious,0.4518580866712718,False,Non-religious plurality
Birmingham Perry Barr,Muslim,0.46391733528639817,False,Muslim plurality
Birmingham Selly Oak,Non-religious,0.41151830886483565,False,Non-religious plurality
Birmingham Yardley,Muslim,0.45830935461737227,False,Muslim plurality
Bishop Auckland,Christian,0.5053168778604108,True,Christian majority
Blackburn,Muslim,0.49708007960101114,False,Muslim plurality
Blackley and Middleton South,Christian,0.4551558302892824,False,Christian plurality
Blackpool North and Fleetwood,Christian,0.48858722544857125,False,Christian plurality
Blackpool South,Non-religious,0.4899683982074278,False,Non-religious plurality
Blaenau Gwent and Rhymney,Non-religious,0.636003786665982,True,Non-religious majority
