constituency_name,biggest,share,majority,category
Aberafan Maesteg,Non-religious,0.5748693508745211,True,Non-religious majority
Aldershot,Non-religious,0.4242829495183433,False,Non-religious plurality
Aldridge-Brownhills,Christian,0.48837546569809004,False,Christian plurality
Altrincham and Sale West,Christian,0.45753149869153165,False,Christian plurality
Alyn and Deeside,Non-religious,0.4609462296039906,False,Non-religious plurality
Amber Valley,Non-religious,0.544615524916666,True,Non-religious majority
Arundel and South Downs,Christian,0.49516932200364494,False,Christian plurality
Ashfield,Non-religious,0.554452090268395,True,Non-religious majority
Ashford,Non-religious,0.4657707246905909,False,Non-religious plurality
Ashton-under-Lyne,Christian,0.4152238590562484,False,Christian plurality
Aylesbury,Christian,0.41230048325355195,False,Christian plurality
Banbury,Christian,0.4606794521533545,False,Christian plurality
Bangor Aberconwy,Non-religious,0.47246942299488054,False,Non-religious plurality
Barking,Christian,0.40082967911570944,False,Christian plurality
Barnsley North,Non-religious,0.47874855293929053,False,Non-religious plurality
Barnsley South,Non-religious,0.49621693710647025,False,Non-religious plurality
Barrow and Furness,Christian,0.4858694331452625,False,Christian plurality
Basildon and Billericay,Non-religious,0.487336023350043,False,Non-religious plurality
Basingstoke,Non-religious,0.4915814425488128,False,Non-religious plurality
Bassetlaw,Christian,0.4952734235683388,False,Christian plurality
Bath,Non-religious,0.5391233148686037,True,Non-religious majority
Battersea,Non-religious,0.40399388933018476,False,Non-religious plurality
Beaconsfield,Christian,0.438019580101158,False,Christian plurality
Beckenham and Penge,Non-religious,0.4285081752924546,False,Non-religious plurality
Bedford,Christian,0.4268088535735297,False,Christian plurality
Bermondsey and Old Southwark,Non-religious,0.3995978897117829,False,Non-religious plurality
Bethnal Green and Stepney,Muslim,0.48046774363165135,False,Muslim plurality
Beverley and Holderness,Christian,0.4780203702474373,False,Christian plurality
Bexhill and Battle,Christian,0.46087427342983045,False,Christian plurality
Bexleyheath and Crayford,Christian,0.457345664735092,False,Christian plurality
Bicester and Woodstock,Christian,0.4616991643930783,False,Christian plurality
Birkenhead,Christian,0.4761524989743512,False,Christian plurality
Birmingham Edgbaston,Christian,0.3493444473692586,False,Christian plurality
Birmingham Erdington,Christian,0.41536857861511317,False,Christian plurality
Birmingham Hall Green and Moseley,Muslim,0.566847346423432,True,Muslim majority
Birmingham Hodge Hill and Solihull North,Muslim,0.39708342077926695,False,Muslim plurality
Birmingham Ladywood,Muslim,0.5126432397375842,True,Muslim majority
Birmingham Northfield,Non-religious,0.43901110436665824,False,Non-religious plurality
Birmingham Perry Barr,Muslim,0.4553926143146872,False,Muslim plurality
Birmingham Selly Oak,Non-religious,0.4011546721615573,False,Non-religious plurality
Birmingham Yardley,Muslim,0.45032221974980174,False,Muslim plurality
Bishop Auckland,Christian,0.524201770451157,True,Christian majority
Blackburn,Muslim,0.4899763397908704,False,Muslim plurality
Blackley and Middleton South,Christian,0.469589569327818,False,Christian plurality
Blackpool North and Fleetwood,Christian,0.5060001825471266,True,Christian majority
Blackpool South,Non-religious,0.4727199768431949,False,Non-religious plurality
Blaenau Gwent and Rhymney,Non-religious,0.6213988029987322,True,Non-religious majority
Blaydon and Consett,Christian,0.4990868356372414,False,Christian plurality
Blyth and Ashington,Non-religious,0.5042267749201271,True,Non-religious majority
Bognor Regis and Littlehampton,Christian,0.4649351256654664,False,Christian plurality
Bolsover,Non-religious,0.5052084097268636,True,Non-religious majority
Bolton North East,Christian,0.4352518621135753,False,Christian plurality
Bolton South and Walkden,Christian,0.3584874745966031,False,Christian plurality
Bolton West,Christian,0.5004332918878303,True,Christian majority
Bootle,Christian,0.6020695178952752,True,Christian majority
Boston and Skegness,Christian,0.5277925238583896,True,Christian majority
Bournemouth East,Non-religious,0.44592854074795585,False,Non-religious plurality
Bournemouth West,Non-religious,0.4926940759118892,False,Non-religious plurality
Bracknell,Non-religious,0.4591930316459754,False,Non-religious plurality
Bradford East,Muslim,0.46002448842817584,False,Muslim plurality
Bradford South,Non-religious,0.3771490309468304,False,Non-religious plurality
Bradford West,Muslim,0.6069620157741163,True,Muslim majority
Braintree,Non-religious,0.49784056432189167,False,Non-religious plurality
"Brecon, Radnor and Cwm Tawe",Non-religious,0.4912568246629408,False,Non-religious plurality
Brent East,Christian,0.3969175207157938,False,Christian plurality
Brent West,Christian,0.33604880722500563,False,Christian plurality
Brentford and Isleworth,Christian,0.36849231524367404,False,Christian plurality
Brentwood and Ongar,Christian,0.5074426949495954,True,Christian majority
Bridgend,Non-religious,0.5488349405129882,True,Non-religious majority
Bridgwater,Non-religious,0.4734698370074973,False,Non-religious plurality
Bridlington and The Wolds,Christian,0.49067788852994465,False,Christian plurality
Brigg and Immingham,Christian,0.48068577265026946,False,Christian plurality
Brighton Kemptown and Peacehaven,Non-religious,0.5559607347622421,True,Non-religious majority
Brighton Pavilion,Non-religious,0.6384205992818842,True,Non-religious majority
Bristol Central,Non-religious,0.6196085763122808,True,Non-religious majority
Bristol East,Non-religious,0.5196617102613337,True,Non-religious majority
Bristol North East,Non-religious,0.5022673860204988,True,Non-religious majority
Bristol North West,Non-religious,0.5242284134999613,True,Non-religious majority
Bristol South,Non-religious,0.6189804532339123,True,Non-religious majority
Broadland and Fakenham,Non-religious,0.4849893359751287,False,Non-religious plurality
Bromley and Biggin Hill,Christian,0.4440123023401914,False,Christian plurality
Bromsgrove,Christian,0.4833772026797936,False,Christian plurality
Broxbourne,Christian,0.484551419832047,False,Christian plurality
Broxtowe,Non-religious,0.520951922816138,True,Non-religious majority
Buckingham and Bletchley,Christian,0.4255563232243126,False,Christian plurality
Burnley,Christian,0.4061092175344734,False,Christian plurality
Burton and Uttoxeter,Christian,0.4465191891804715,False,Christian plurality
Bury North,Christian,0.47046617750325903,False,Christian plurality
Bury South,Christian,0.38204136949148737,False,Christian plurality
Bury St Edmunds and Stowmarket,Non-religious,0.48871744567081216,False,Non-religious plurality
Caerfyrddin,Non-religious,0.4704404471472372,False,Non-religious plurality
Caerphilly,Non-religious,0.609163740540403,True,Non-religious majority
Calder Valley,Non-religious,0.5177390713429648,True,Non-religious majority
Camborne and Redruth,Non-religious,0.5419669694882825,True,Non-religious majority
Cambridge,Non-religious,0.47956589987179415,False,Non-religious plurality
Cannock Chase,Christian,0.46988072687622373,False,Christian plurality
Canterbury,Non-religious,0.4639032924133809,False,Non-religious plurality
